  9809     KEK-PF   BL9C
 Cu002           21.02.25 09:33 - 21.02.25 09:36 Serial#KEKPF-BL9C_064743
 Cu foil after calibration
 Ring :   2.5 GeV   450.1 mA -  449.3 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 12.71850 deg
 BL9C      Transmission( 2)   Repetition=  1     Points=  301
 Param file : Std-XANES       energy axis(2)     Block =    1

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        8945.30   9050.30         0.35       0.10       301
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   496.900   538.200
  12.67280  12.67280      0.10     15068      5034
  12.67230  12.67230      0.10     15073      5021
  12.67180  12.67180      0.10     15065      5004
  12.67130  12.67130      0.10     15062      4985
  12.67080  12.67080      0.10     15053      4962
  12.67030  12.67030      0.10     15053      4939
  12.66980  12.66980      0.10     15039      4909
  12.66930  12.66930      0.10     15038      4880
  12.66880  12.66880      0.10     15025      4847
  12.66830  12.66820      0.10     15017      4811
  12.66780  12.66790      0.10     15007      4781
  12.66730  12.66730      0.10     15041      4750
  12.66680  12.66680      0.10     15022      4707
  12.66630  12.66640      0.10     14994      4663
  12.66580  12.66580      0.10     14953      4608
  12.66530  12.66530      0.10     14926      4563
  12.66480  12.66480      0.10     14909      4524
  12.66430  12.66430      0.10     14895      4486
  12.66380  12.66380      0.10     14899      4454
  12.66330  12.66330      0.10     14909      4426
  12.66281  12.66280      0.10     14937      4403
  12.66231  12.66230      0.10     14962      4379
  12.66181  12.66180      0.10     14999      4358
  12.66131  12.66130      0.10     15032      4337
  12.66081  12.66080      0.10     15048      4312
  12.66031  12.66030      0.10     15057      4285
  12.65981  12.65980      0.10     15077      4262
  12.65931  12.65920      0.10     15074      4235
  12.65881  12.65890      0.10     15085      4217
  12.65831  12.65830      0.10     15067      4186
  12.65781  12.65780      0.10     15068      4165
  12.65731  12.65730      0.10     15060      4145
  12.65681  12.65680      0.10     15061      4132
  12.65631  12.65640      0.10     15055      4122
  12.65582  12.65580      0.10     15048      4114
  12.65532  12.65530      0.10     15048      4113
  12.65482  12.65490      0.10     15047      4118
  12.65432  12.65430      0.10     15045      4128
  12.65382  12.65380      0.10     15115      4163
  12.65332  12.65340      0.10     15101      4178
  12.65282  12.65280      0.10     15105      4206
  12.65232  12.65230      0.10     15102      4232
  12.65182  12.65180      0.10     15103      4259
  12.65133  12.65140      0.10     15102      4289
  12.65083  12.65080      0.10     15092      4324
  12.65033  12.65030      0.10     15110      4362
  12.64983  12.64980      0.10     15110      4393
  12.64933  12.64930      0.10     15111      4428
  12.64883  12.64880      0.10     15112      4463
  12.64833  12.64840      0.10     15113      4496
  12.64784  12.64780      0.10     15101      4533
  12.64734  12.64740      0.10     15094      4564
  12.64684  12.64690      0.10     15096      4600
  12.64634  12.64630      0.10     15086      4631
  12.64584  12.64580      0.10     15099      4661
  12.64535  12.64540      0.10     15098      4684
  12.64485  12.64490      0.10     15082      4705
  12.64435  12.64430      0.10     15083      4727
  12.64385  12.64390      0.10     15093      4748
  12.64335  12.64340      0.10     15084      4762
  12.64285  12.64280      0.10     15077      4776
  12.64236  12.64240      0.10     15081      4786
  12.64186  12.64180      0.10     15064      4790
  12.64136  12.64140      0.10     15062      4797
  12.64086  12.64080      0.10     15043      4796
  12.64037  12.64040      0.10     15042      4799
  12.63987  12.63980      0.10     15034      4798
  12.63937  12.63940      0.10     15035      4797
  12.63887  12.63890      0.10     15031      4794
  12.63837  12.63830      0.10     15021      4788
  12.63788  12.63790      0.10     15029      4785
  12.63738  12.63740      0.10     15021      4776
  12.63688  12.63690      0.10     15017      4765
  12.63638  12.63640      0.10     15006      4752
  12.63589  12.63590      0.10     14989      4736
  12.63539  12.63540      0.10     14974      4720
  12.63489  12.63490      0.10     14950      4702
  12.63440  12.63440      0.10     14927      4684
  12.63390  12.63390      0.10     14918      4671
  12.63340  12.63340      0.10     14920      4663
  12.63290  12.63290      0.10     14949      4664
  12.63241  12.63240      0.10     14967      4664
  12.63191  12.63190      0.10     15010      4671
  12.63141  12.63140      0.10     15044      4680
  12.63091  12.63100      0.10     15073      4689
  12.63042  12.63040      0.10     15082      4694
  12.62992  12.62990      0.10     15086      4696
  12.62942  12.62940      0.10     15085      4699
  12.62893  12.62890      0.10     15101      4707
  12.62843  12.62840      0.10     15108      4712
  12.62793  12.62800      0.10     15101      4714
  12.62744  12.62750      0.10     15109      4719
  12.62694  12.62690      0.10     15106      4720
  12.62644  12.62650      0.10     15109      4721
  12.62595  12.62590      0.10     15117      4720
  12.62545  12.62550      0.10     15120      4718
  12.62495  12.62490      0.10     15119      4710
  12.62446  12.62450      0.10     15128      4708
  12.62396  12.62400      0.10     15125      4697
  12.62346  12.62350      0.10     15123      4686
  12.62297  12.62290      0.10     15121      4674
  12.62247  12.62250      0.10     15122      4665
  12.62197  12.62200      0.10     15137      4657
  12.62148  12.62150      0.10     15140      4648
  12.62098  12.62090      0.10     15135      4636
  12.62049  12.62050      0.10     15139      4628
  12.61999  12.62000      0.10     15133      4618
  12.61949  12.61950      0.10     15129      4611
  12.61900  12.61890      0.10     15141      4610
  12.61850  12.61850      0.10     15152      4612
