  9809     SAGA-LS   BL11
 20190219_09_K2  19.02.19 18:47 - 19.02.19 19:16
 S-K ROI 215-255ch, CEY 400V
 Ring :   1.4 GeV   204.1 mA -  193.0 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 53.80180 deg
 BL11      Transmission( 2)   Repetition=  1     Points=475
 Param file : --              energy axis(2)     Block =    3

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1        2440.00   2442.00         0.50       3.00         4
     2        2442.00   2532.96         0.20       3.00       450
     3        2532.96   2540.00         0.35       3.00        21
 CAMAC( 1)     NDCH = 9
  Angle(c)  Angle(o)    time/s         1         2         3         1         2         3         1         2         3
      Mode         0         0         3         1         4       103       101       104         5         5         5
    Offset         0         0     0.000191361.400230259.300     0.000     0.000     0.000     0.000     0.000     0.000
  53.44061  53.44120      3.00      1513   9036967  14059776      2939         0         0   2997951         0         0
  53.43427  53.43480      3.00      1494   9058324  14083553      2958         0         0   2997666         0         0
  53.42793  53.42850      3.00      1490   9069027  14109437      3049         0         0   2997988         0         0
  53.42159  53.42210      3.00      1548   9093816  14142234      3069         0         0   2997965         0         0
  53.41525  53.41580      3.00      1630   9141700  14202712      3138         0         0   2997704         0         0
  53.40891  53.40950      3.00      1624   9169894  14249972      3115         0         0   2997718         0         0
  53.40258  53.40320      3.00      1561   9169130  14242055      3101         0         0   2998020         0         0
  53.39625  53.39680      3.00      1652   9130563  14197746      3203         0         0   2997688         0         0
  53.38992  53.39050      3.00      1678   9106132  14164072      3131         0         0   2997701         0         0
  53.38359  53.38410      3.00      1646   9095631  14148997      3204         0         0   2997980         0         0
  53.37726  53.37780      3.00      1732   9092751  14149986      3188         0         0   2998035         0         0
  53.37094  53.37150      3.00      1775   9121645  14176809      3375         0         0   2998193         0         0
  53.36462  53.36510      3.00      1722   9123890  14204769      3260         0         0   2997638         0         0
  53.35830  53.35890      3.00      1840   9135058  14214633      3362         0         0   2997741         0         0
  53.35198  53.35260      3.00      1805   9117645  14188135      3275         0         0   2997638         0         0
  53.34566  53.34620      3.00      1867   9088300  14145080      3423         0         0   2997674         0         0
  53.33935  53.34000      3.00      1889   9095144  14159312      3416         0         0   2997459         0         0
  53.33304  53.33360      3.00      1894   9106253  14177343      3391         0         0   2997680         0         0
  53.32673  53.32730      3.00      1939   9120649  14198920      3492         0         0   2997762         0         0
  53.32042  53.32100      3.00      1997   9159657  14241807      3546         0         0   2997734         0         0
  53.31411  53.31470      3.00      2005   9165075  14275988      3566         0         0   2997514         0         0
  53.30781  53.30840      3.00      2012   9206342  14321962      3524         0         0   2997734         0         0
  53.30150  53.30220      3.00      2081   9212385  14335455      3630         0         0   2997720         0         0
  53.29520  53.29580      3.00      2154   9179042  14287960      3728         0         0   2997696         0         0
  53.28890  53.28950      3.00      2213   9190093  14320660      3764         0         0   2997493         0         0
  53.28261  53.28330      3.00      2125   9207831  14340604      3679         0         0   2998236         0         0
  53.27631  53.27690      3.00      2226   9187826  14315874      3804         0         0   2997430         0         0
  53.27002  53.27070      3.00      2249   9185157  14308535      3784         0         0   2997494         0         0
  53.26373  53.26430      3.00      2285   9176444  14286745      3864         0         0   2997656         0         0
  53.25744  53.25800      3.00      2450   9148822  14260190      4030         0         0   2997590         0         0
  53.25115  53.25180      3.00      2535   9147483  14259845      4097         0         0   2997558         0         0
  53.24487  53.24550      3.00      2480   9177909  14301252      3950         0         0   2997867         0         0
  53.23859  53.23920      3.00      2484   9214550  14356713      4075         0         0   2997386         0         0
  53.23231  53.23290      3.00      2639   9225201  14381515      4138         0         0   2997329         0         0
  53.22603  53.22660      3.00      2577   9246442  14405819      4155         0         0   2997585         0         0
  53.21975  53.22040      3.00      2764   9210759  14354617      4382         0         0   2997504         0         0
  53.21348  53.21410      3.00      2733   9163223  14298515      4304         0         0   2997288         0         0
  53.20720  53.20780      3.00      2932   9161983  14306101      4437         0         0   2997454         0         0
  53.20093  53.20170      3.00      2873   9149696  14279960      4422         0         0   2997506         0         0
  53.19466  53.19530      3.00      2902   9146605  14261629      4470         0         0   2997742         0         0
  53.18839  53.18910      3.00      3000   9124313  14251305      4577         0         0   2997158         0         0
  53.18213  53.18280      3.00      3065   9107482  14222330      4680         0         0   2997333         0         0
  53.17587  53.17650      3.00      3311   9121324  14257459      4850         0         0   2997308         0         0
  53.16960  53.17030      3.00      3272   9155903  14303174      4937         0         0   2997198         0         0
  53.16334  53.16400      3.00      3509   9190557  14352144      5114         0         0   2997431         0         0
  53.15709  53.15770      3.00      3526   9218190  14401008      5210         0         0   2997614         0         0
  53.15083  53.15160      3.00      3652   9209727  14390622      5303         0         0   2996737         0         0
  53.14458  53.14520      3.00      3610   9231963  14405945      5359         0         0   2996951         0         0
  53.13833  53.13900      3.00      3906   9227398  14414477      5552         0         0   2996686         0         0
  53.13208  53.13280      3.00      4076   9213116  14403977      5692         0         0   2996877         0         0
  53.12583  53.12650      3.00      4252   9220827  14413316      5913         0         0   2996467         0         0
  53.11958  53.12030      3.00      4161   9214654  14410837      5848         0         0   2997278         0         0
  53.11334  53.11400      3.00      4543   9239412  14448480      6218         0         0   2996318         0         0
  53.10710  53.10770      3.00      4496   9255194  14464244      6236         0         0   2996485         0         0
  53.10086  53.10160      3.00      4826   9242393  14456590      6480         0         0   2996212         0         0
  53.09462  53.09520      3.00      4836   9221648  14426058      6509         0         0   2996925         0         0
  53.08838  53.08910      3.00      5121   9213915  14439136      6818         0         0   2996064         0         0
  53.08215  53.08280      3.00      5411   9230216  14459953      7110         0         0   2995969         0         0
  53.07591  53.07660      3.00      5618   9246147  14477125      7419         0         0   2996613         0         0
  53.06968  53.07040      3.00      5648   9249542  14493187      7425         0         0   2995874         0         0
  53.06345  53.06410      3.00      5777   9245578  14495472      7606         0         0   2995787         0         0
  53.05723  53.05790      3.00      6292   9266504  14514997      8091         0         0   2995947         0         0
  53.05100  53.05170      3.00      6337   9261924  14532896      8160         0         0   2995964         0         0
  53.04478  53.04540      3.00      6807   9291353  14568772      8651         0         0   2995843         0         0
  53.03856  53.03920      3.00      7024   9273748  14561507      8861         0         0   2995560         0         0
  53.03234  53.03300      3.00      7522   9286034  14580686      9438         0         0   2996110         0         0
  53.02612  53.02680      3.00      7726   9294908  14598307      9691         0         0   2995648         0         0
  53.01991  53.02060      3.00      8387   9320138  14638887     10253         0         0   2996093         0         0
  53.01369  53.01430      3.00      8546   9346053  14694745     10442         0         0   2995458         0         0
  53.00748  53.00810      3.00      9174   9343581  14705675     11164         0         0   2995994         0         0
  53.00127  53.00200      3.00      9483   9350325  14732604     11435         0         0   2995926         0         0
  52.99507  52.99570      3.00     10448   9348377  14730908     12452         0         0   2994802         0         0
  52.98886  52.98950      3.00     10877   9343438  14734236     12869         0         0   2995151         0         0
  52.98266  52.98340      3.00     11597   9339573  14738231     13638         0         0   2995210         0         0
  52.97645  52.97710      3.00     12552   9321808  14742725     14640         0         0   2993945         0         0
  52.97025  52.97100      3.00     13449   9331486  14766298     15692         0         0   2993690         0         0
  52.96406  52.96470      3.00     14517   9335119  14806560     16823         0         0   2994723         0         0
  52.95786  52.95850      3.00     15457   9328727  14812897     17817         0         0   2993399         0         0
  52.95167  52.95240      3.00     16869   9360567  14888939     19310         0         0   2992911         0         0
  52.94547  52.94620      3.00     18436   9386206  14951234     20957         0         0   2992452         0         0
  52.93928  52.94000      3.00     20219   9388108  15002691     22827         0         0   2991442         0         0
  52.93309  52.93380      3.00     22078   9370634  15016574     24952         0         0   2991480         0         0
  52.92691  52.92760      3.00     24349   9348062  15035322     27363         0         0   2990978         0         0
  52.92072  52.92150      3.00     26928   9343792  15081949     30124         0         0   2989581         0         0
  52.91454  52.91530      3.00     30160   9356259  15169785     33625         0         0   2988391         0         0
  52.90836  52.90910      3.00     34209   9362349  15283952     38009         0         0   2987769         0         0
  52.90218  52.90290      3.00     39224   9350839  15382366     43222         0         0   2985962         0         0
  52.89600  52.89670      3.00     45175   9376381  15561012     49744         0         0   2983835         0         0
  52.88983  52.89060      3.00     53076   9397121  15798422     58423         0         0   2981457         0         0
  52.88365  52.88440      3.00     63618   9409808  16116486     69877         0         0   2979228         0         0
  52.87748  52.87820      3.00     76472   9390607  16523777     84029         0         0   2973978         0         0
  52.87131  52.87200      3.00     94206   9375028  17196016    104025         0         0   2968986         0         0
  52.86514  52.86590      3.00    115576   9368696  18220574    128123         0         0   2962038         0         0
  52.85898  52.85980      3.00    138475   9379340  19731391    154657         0         0   2955122         0         0
  52.85281  52.85360      3.00    159813   9375745  21695798    178983         0         0   2947832         0         0
  52.84665  52.84740      3.00    178213   9382977  23998288    200896         0         0   2942139         0         0
  52.84049  52.84130      3.00    189771   9382113  26610575    214823         0         0   2938044         0         0
  52.83433  52.83510      3.00    201872   9390588  29620742    229187         0         0   2933906         0         0
  52.82818  52.82890      3.00    209573   9408524  32562968    238784         0         0   2931454         0         0
  52.82202  52.82280      3.00    212877   9404843  34093054    242995         0         0   2930514         0         0
  52.81587  52.81660      3.00    210809   9399398  33693680    240390         0         0   2930875         0         0
  52.80972  52.81050      3.00    207891   9421289  31657168    236559         0         0   2931895         0         0
  52.80357  52.80430      3.00    197479   9434274  28514143    224261         0         0   2935114         0         0
  52.79742  52.79820      3.00    183887   9438997  25110212    207966         0         0   2939420         0         0
  52.79128  52.79200      3.00    166889   9454634  22305648    187503         0         0   2945214         0         0
  52.78513  52.78580      3.00    147619   9454532  20277671    164768         0         0   2951618         0         0
  52.77899  52.77980      3.00    129706   9432374  18929552    144176         0         0   2958081         0         0
  52.77285  52.77360      3.00    115059   9439164  18119862    127565         0         0   2961754         0         0
  52.76671  52.76750      3.00    104485   9477998  17658529    115475         0         0   2968688         0         0
  52.76058  52.76130      3.00     98830   9515926  17443725    109059         0         0   2967878         0         0
  52.75444  52.75520      3.00     95799   9555112  17402789    105733         0         0   2968784         0         0
  52.74831  52.74900      3.00     97647   9586564  17507947    107665         0         0   2967928         0         0
  52.74218  52.74290      3.00    100163   9573746  17623057    110891         0         0   2967174         0         0
  52.73605  52.73670      3.00    105163   9555071  17781952    116387         0         0   2964882         0         0
  52.72992  52.73060      3.00    109392   9526399  17951391    121103         0         0   2964180         0         0
  52.72380  52.72450      3.00    112330   9498991  18064089    124343         0         0   2962878         0         0
  52.71768  52.71840      3.00    114543   9479324  18156661    126762         0         0   2962579         0         0
  52.71156  52.71230      3.00    116136   9498999  18216110    128674         0         0   2961664         0         0
  52.70544  52.70610      3.00    114228   9513723  18189789    126818         0         0   2961922         0         0
  52.69932  52.70000      3.00    112498   9538326  18122754    124438         0         0   2962878         0         0
  52.69320  52.69390      3.00    110439   9559415  18006292    122310         0         0   2963554         0         0
