  9809     SPring-8 14b2 
 Ir-L3_IrCl4_Si  20.07.15 13:07 - 20.07.15 13:11
 IrCl4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 10.59089 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4645
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       10.47000   8.93000    -0.000340       0.05      4645
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    37.100    81.600
  10.31530  10.32255     0.050     26741     10084
  10.31496  10.32218     0.050     26738     10083
  10.31462  10.32183     0.050     26751     10090
  10.31428  10.32147     0.050     26745     10090
  10.31394  10.32110     0.050     26736     10088
  10.31360  10.32072     0.050     26757     10094
  10.31326  10.32034     0.050     26740     10096
  10.31292  10.31998     0.050     26735     10091
  10.31258  10.31963     0.050     26746     10098
  10.31224  10.31929     0.050     26752     10104
  10.31190  10.31895     0.050     26731     10097
  10.31156  10.31862     0.050     26734     10100
  10.31122  10.31829     0.050     26746     10107
  10.31088  10.31796     0.050     26754     10109
  10.31054  10.31764     0.050     26719     10101
  10.31020  10.31734     0.050     26754     10114
  10.30986  10.31706     0.050     26741     10113
  10.30952  10.31678     0.050     26731     10109
  10.30918  10.31651     0.050     26735     10114
  10.30884  10.31623     0.050     26751     10123
  10.30850  10.31595     0.050     26726     10117
  10.30816  10.31566     0.050     26733     10118
  10.30782  10.31536     0.050     26748     10125
  10.30748  10.31506     0.050     26728     10120
  10.30714  10.31476     0.050     26721     10120
  10.30680  10.31446     0.050     26736     10127
  10.30646  10.31414     0.050     26730     10128
  10.30612  10.31380     0.050     26721     10127
  10.30578  10.31343     0.050     26717     10126
  10.30544  10.31305     0.050     26739     10133
  10.30510  10.31267     0.050     26722     10133
  10.30476  10.31230     0.050     26702     10128
  10.30442  10.31194     0.050     26735     10138
  10.30408  10.31159     0.050     26718     10138
  10.30374  10.31123     0.050     26710     10134
  10.30340  10.31085     0.050     26723     10141
  10.30306  10.31047     0.050     26725     10144
  10.30272  10.31010     0.050     26710     10141
  10.30238  10.30974     0.050     26690     10139
  10.30204  10.30940     0.050     26729     10152
  10.30170  10.30907     0.050     26724     10150
  10.30136  10.30874     0.050     26693     10142
  10.30102  10.30841     0.050     26720     10153
  10.30068  10.30808     0.050     26714     10151
  10.30034  10.30775     0.050     26691     10150
  10.30000  10.30745     0.050     26703     10154
  10.29966  10.30715     0.050     26709     10159
  10.29932  10.30688     0.050     26698     10158
  10.29898  10.30661     0.050     26708     10161
  10.29864  10.30633     0.050     26697     10162
  10.29830  10.30605     0.050     26718     10169
  10.29796  10.30576     0.050     26688     10163
  10.29762  10.30546     0.050     26705     10166
  10.29728  10.30516     0.050     26698     10168
  10.29694  10.30487     0.050     26694     10167
  10.29660  10.30457     0.050     26700     10174
  10.29626  10.30426     0.050     26696     10174
  10.29592  10.30393     0.050     26696     10173
  10.29558  10.30357     0.050     26683     10174
  10.29524  10.30318     0.050     26694     10179
  10.29490  10.30280     0.050     26692     10181
  10.29456  10.30243     0.050     26687     10178
  10.29422  10.30207     0.050     26698     10184
  10.29388  10.30172     0.050     26696     10184
  10.29354  10.30136     0.050     26684     10183
  10.29320  10.30099     0.050     26683     10185
  10.29286  10.30060     0.050     26708     10195
  10.29252  10.30023     0.050     26680     10190
  10.29218  10.29987     0.050     26677     10192
  10.29184  10.29952     0.050     26696     10197
  10.29150  10.29918     0.050     26683     10194
  10.29116  10.29885     0.050     26677     10194
  10.29082  10.29852     0.050     26685     10201
  10.29048  10.29819     0.050     26682     10196
  10.29014  10.29787     0.050     26679     10198
  10.28980  10.29755     0.050     26677     10204
  10.28946  10.29725     0.050     26703     10209
  10.28912  10.29697     0.050     26670     10204
  10.28878  10.29669     0.050     26658     10204
  10.28844  10.29642     0.050     26675     10206
  10.28810  10.29614     0.050     26688     10214
  10.28776  10.29585     0.050     26660     10210
  10.28742  10.29556     0.050     26665     10214
  10.28708  10.29526     0.050     26684     10222
  10.28674  10.29496     0.050     26642     10209
  10.28640  10.29466     0.050     26656     10216
  10.28606  10.29435     0.050     26682     10221
  10.28572  10.29403     0.050     26665     10217
  10.28538  10.29367     0.050     26649     10219
  10.28504  10.29330     0.050     26673     10225
  10.28470  10.29292     0.050     26658     10224
  10.28436  10.29255     0.050     26661     10225
  10.28402  10.29218     0.050     26652     10224
  10.28368  10.29183     0.050     26654     10228
  10.28334  10.29147     0.050     26671     10235
  10.28300  10.29110     0.050     26631     10227
  10.28266  10.29072     0.050     26678     10242
  10.28232  10.29035     0.050     26685     10243
  10.28198  10.28998     0.050     26640     10235
  10.28164  10.28963     0.050     26654     10240
  10.28130  10.28929     0.050     26664     10243
  10.28096  10.28896     0.050     26654     10243
  10.28062  10.28863     0.050     26647     10242
  10.28028  10.28830     0.050     26667     10250
  10.27994  10.28798     0.050     26660     10249
  10.27960  10.28765     0.050     26635     10244
  10.27926  10.28735     0.050     26661     10253
  10.27892  10.28707     0.050     26652     10253
  10.27858  10.28679     0.050     26643     10253
  10.27824  10.28652     0.050     26641     10255
  10.27790  10.28625     0.050     26650     10259
  10.27756  10.28597     0.050     26636     10255
  10.27722  10.28567     0.050     26648     10259
  10.27688  10.28537     0.050     26657     10263
  10.27654  10.28508     0.050     26643     10266
  10.27620  10.28478     0.050     26629     10261
  10.27586  10.28448     0.050     26641     10268
  10.27552  10.28416     0.050     26648     10270
  10.27518  10.28382     0.050     26638     10270
  10.27484  10.28346     0.050     26629     10268
  10.27450  10.28308     0.050     26634     10271
  10.27416  10.28271     0.050     26630     10272
  10.27382  10.28234     0.050     26625     10270
  10.27348  10.28198     0.050     26630     10276
  10.27314  10.28163     0.050     26636     10280
  10.27280  10.28127     0.050     26620     10277
  10.27246  10.28090     0.050     26636     10281
  10.27212  10.28052     0.050     26627     10283
  10.27178  10.28015     0.050     26613     10281
  10.27144  10.27979     0.050     26621     10282
  10.27110  10.27945     0.050     26624     10289
  10.27076  10.27912     0.050     26620     10283
  10.27042  10.27879     0.050     26621     10287
  10.27008  10.27846     0.050     26620     10289
  10.26974  10.27813     0.050     26629     10294
  10.26940  10.27781     0.050     26602     10288
  10.26906  10.27750     0.050     26610     10292
  10.26872  10.27720     0.050     26629     10300
  10.26838  10.27692     0.050     26604     10296
  10.26804  10.27666     0.050     26615     10299
  10.26770  10.27639     0.050     26626     10304
  10.26736  10.27611     0.050     26612     10301
  10.26702  10.27582     0.050     26595     10299
  10.26668  10.27552     0.050     26622     10308
  10.26634  10.27522     0.050     26614     10308
  10.26600  10.27493     0.050     26599     10303
  10.26566  10.27463     0.050     26596     10306
  10.26532  10.27432     0.050     26601     10312
  10.26498  10.27400     0.050     26599     10310
  10.26464  10.27364     0.050     26580     10309
  10.26430  10.27327     0.050     26594     10310
  10.26396  10.27289     0.050     26607     10319
  10.26362  10.27251     0.050     26576     10311
  10.26328  10.27215     0.050     26584     10316
  10.26294  10.27180     0.050     26601     10322
  10.26260  10.27143     0.050     26591     10323
  10.26226  10.27107     0.050     26576     10316
  10.26192  10.27070     0.050     26591     10326
  10.26158  10.27032     0.050     26612     10332
  10.26124  10.26995     0.050     26572     10321
  10.26090  10.26960     0.050     26583     10328
  10.26056  10.26926     0.050     26583     10331
  10.26022  10.26893     0.050     26584     10331
  10.25988  10.26859     0.050     26567     10329
  10.25954  10.26826     0.050     26581     10336
  10.25920  10.26793     0.050     26580     10335
  10.25886  10.26762     0.050     26572     10334
  10.25852  10.26732     0.050     26580     10338
