   9809     AichiSR  BL5S1
 200911-Y2O3-1   20.09.11 09:12 - 20.09.11 09:13
                                                                                 
 Ring :   1.2 GeV   301.8 mA -  301.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle=  6.67855 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 3783
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1       16740.16  18140.16        0.37       0.01      3785
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  5552.300  9521.500  8214.200
   6.75964   6.75988    0.0143  22111648  10685379  49904986
   6.75950   6.75974    0.0143  22116448  10686179  49932986
   6.75936   6.75959    0.0143  22127548  10690879  49949886
   6.75922   6.75945    0.0143  22170248  10712179  50043586
   6.75908   6.75931    0.0143  22143148  10702279  50001386
   6.75894   6.75917    0.0143  22144848  10701279  49989786
   6.75881   6.75903    0.0143  22119148  10689279  49940886
   6.75867   6.75890    0.0143  22148248  10704379  50010286
   6.75853   6.75876    0.0143  22153248  10706679  50029986
   6.75839   6.75862    0.0143  22159548  10710979  50040786
   6.75825   6.75848    0.0143  22174548  10718679  50094786
   6.75811   6.75835    0.0143  22133448  10698879  49998386
   6.75797   6.75821    0.0143  22152848  10706379  50039386
   6.75783   6.75808    0.0143  22128548  10698979  50002186
   6.75769   6.75795    0.0143  22162448  10714579  50091686
   6.75756   6.75781    0.0143  22144348  10707279  50052186
   6.75742   6.75768    0.0143  22149748  10711379  50060286
   6.75728   6.75755    0.0143  22139448  10703579  50048386
   6.75714   6.75741    0.0143  22118748  10696179  50013086
   6.75700   6.75727    0.0143  22139448  10706079  50057186
   6.75686   6.75714    0.0143  22140748  10706579  50056786
   6.75672   6.75700    0.0143  22155648  10714079  50102186
   6.75658   6.75686    0.0143  22123248  10696779  50019786
   6.75644   6.75672    0.0143  22122048  10699579  50029486
   6.75631   6.75658    0.0143  22123848  10698479  50028286
   6.75617   6.75644    0.0143  22109248  10694479  50011486
   6.75603   6.75630    0.0143  22145748  10708279  50075286
   6.75589   6.75616    0.0143  22118248  10696979  50029286
   6.75575   6.75602    0.0143  22124448  10703179  50064286
   6.75561   6.75587    0.0143  22093748  10686079  49988486
   6.75547   6.75573    0.0143  22132448  10704279  50076686
   6.75533   6.75559    0.0143  22123448  10700879  50064886
   6.75519   6.75544    0.0143  22121848  10702479  50062486
   6.75506   6.75529    0.0143  22113748  10698379  50063586
   6.75492   6.75515    0.0143  22110948  10698879  50053486
   6.75478   6.75500    0.0143  22118448  10701879  50075286
   6.75464   6.75485    0.0143  22095248  10690779  50016386
   6.75450   6.75470    0.0143  22124748  10703679  50083986
   6.75436   6.75455    0.0143  22096748  10690879  50018586
   6.75422   6.75441    0.0143  22101748  10694279  50057086
   6.75408   6.75426    0.0143  22092448  10691079  50029086
   6.75394   6.75411    0.0143  22080548  10687279  50007586
   6.75381   6.75397    0.0143  22091348  10689679  50028186
   6.75367   6.75383    0.0143  22073848  10680879  49993086
   6.75353   6.75369    0.0143  22092148  10693979  50046786
   6.75339   6.75354    0.0143  22039148  10664179  49924186
   6.75325   6.75340    0.0143  22064148  10678079  49993386
   6.75311   6.75327    0.0143  22036048  10666979  49930086
   6.75297   6.75313    0.0143  22051148  10675179  49978286
   6.75283   6.75299    0.0143  22053748  10675979  49978786
   6.75269   6.75286    0.0143  22044948  10673879  49977286
   6.75256   6.75272    0.0143  22056748  10677279  50000686
   6.75242   6.75259    0.0143  22019848  10659879  49908486
   6.75228   6.75246    0.0143  22053248  10676879  49993786
   6.75214   6.75232    0.0143  22069448  10685579  50043486
   6.75200   6.75219    0.0143  22096948  10696679  50089886
   6.75186   6.75206    0.0143  22108948  10704979  50131286
   6.75172   6.75193    0.0143  22113448  10706879  50142186
   6.75158   6.75180    0.0143  22130148  10717179  50184786
   6.75144   6.75167    0.0143  22120148  10707379  50158586
   6.75131   6.75153    0.0143  22151148  10731579  50265286
   6.75117   6.75140    0.0143  22156648  10729279  50259386
   6.75103   6.75126    0.0143  22179148  10742179  50313486
   6.75089   6.75113    0.0143  22158048  10732879  50283186
   6.75075   6.75099    0.0143  22180948  10742779  50330986
   6.75061   6.75085    0.0143  22174848  10740879  50314886
   6.75047   6.75071    0.0143  22176048  10740779  50330486
   6.75033   6.75057    0.0143  22208948  10755579  50401686
   6.75019   6.75042    0.0143  22210848  10757379  50403886
   6.75006   6.75028    0.0143  22220948  10762779  50428486
   6.74992   6.75013    0.0143  22207048  10755979  50408386
   6.74978   6.74999    0.0143  22223948  10765179  50441586
   6.74964   6.74985    0.0143  22229748  10767679  50470786
   6.74950   6.74970    0.0143  22231048  10770679  50475786
   6.74936   6.74956    0.0143  22256548  10781779  50512286
   6.74922   6.74942    0.0143  22231248  10774079  50497786
   6.74908   6.74928    0.0143  22253048  10784579  50546086
   6.74894   6.74914    0.0143  22245048  10778579  50509986
   6.74881   6.74900    0.0143  22281548  10795679  50606586
   6.74867   6.74886    0.0143  22243648  10777479  50520186
   6.74853   6.74873    0.0143  22266448  10790979  50587786
   6.74839   6.74859    0.0143  22269048  10793179  50599586
   6.74825   6.74845    0.0143  22268948  10790579  50599986
   6.74811   6.74832    0.0143  22282148  10796079  50629986
   6.74797   6.74818    0.0143  22261648  10791779  50590686
   6.74783   6.74805    0.0143  22289048  10803479  50657986
   6.74769   6.74792    0.0143  22273648  10792079  50616586
   6.74756   6.74778    0.0143  22287848  10802679  50663886
