  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.51252  17.52575     0.100      5035     22327
  17.51206  17.52531     0.100      5041     22332
  17.51160  17.52489     0.100      5052     22407
  17.51114  17.52451     0.100      5042     22344
  17.51068  17.52414     0.100      5036     22346
  17.51022  17.52377     0.100      5048     22391
  17.50976  17.52338     0.100      5020     22268
  17.50930  17.52298     0.100      5041     22358
  17.50884  17.52258     0.100      5031     22331
  17.50838  17.52218     0.100      5041     22365
  17.50792  17.52176     0.100      5041     22395
  17.50746  17.52131     0.100      5032     22335
  17.50700  17.52082     0.100      5040     22382
  17.50654  17.52031     0.100      5033     22362
  17.50608  17.51981     0.100      5035     22359
  17.50562  17.51933     0.100      5029     22346
  17.50516  17.51886     0.100      5028     22325
  17.50470  17.51835     0.100      5042     22396
  17.50424  17.51784     0.100      5020     22300
  17.50378  17.51735     0.100      5036     22362
  17.50332  17.51689     0.100      5020     22296
  17.50286  17.51643     0.100      5020     22313
  17.50240  17.51599     0.100      5032     22368
  17.50194  17.51554     0.100      5016     22298
  17.50148  17.51511     0.100      5026     22340
  17.50102  17.51471     0.100      5016     22292
  17.50056  17.51433     0.100      5011     22279
  17.50010  17.51397     0.100      5040     22414
  17.49964  17.51359     0.100      5001     22246
  17.49918  17.51320     0.100      5039     22399
  17.49872  17.51279     0.100      5019     22327
  17.49826  17.51239     0.100      5024     22346
  17.49780  17.51198     0.100      5036     22406
  17.49734  17.51155     0.100      5008     22288
  17.49688  17.51107     0.100      5036     22414
  17.49642  17.51057     0.100      5015     22324
  17.49596  17.51006     0.100      5012     22324
  17.49550  17.50957     0.100      5028     22382
  17.49504  17.50909     0.100      5008     22316
  17.49458  17.50860     0.100      5047     22476
  17.49412  17.50809     0.100      5024     22384
  17.49366  17.50758     0.100      5040     22452
  17.49320  17.50710     0.100      5019     22376
  17.49274  17.50664     0.100      4993     22242
  17.49228  17.50620     0.100      5020     22378
  17.49182  17.50575     0.100      5008     22329
  17.49136  17.50531     0.100      5025     22398
  17.49090  17.50489     0.100      5028     22404
  17.49044  17.50451     0.100      5010     22332
  17.48998  17.50414     0.100      5028     22428
  17.48952  17.50377     0.100      5022     22406
  17.48906  17.50338     0.100      5022     22407
  17.48860  17.50298     0.100      5027     22430
  17.48814  17.50257     0.100      5016     22379
  17.48768  17.50217     0.100      5037     22477
  17.48722  17.50176     0.100      5012     22367
  17.48676  17.50130     0.100      5039     22501
